"","strain","accession","date","year","country","state","CO","division","zone","trap","lineage","sublineage","host"
"2745","CSU5073/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5073",2013-08-12,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-072","unknown","unknown","Mosquito-Culex"
"2746","CSU5076/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5076",2013-08-12,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-092GR","unknown","unknown","Mosquito-Culex"
"2747","CSU5078/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5078",2013-08-13,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-031","unknown","unknown","Mosquito-Culex"
"2748","CSU5108/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5108",2013-08-13,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-067","unknown","unknown","Mosquito-Culex"
"2749","CSU5111/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5111",2013-08-13,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-053","unknown","unknown","Mosquito-Culex"
"2750","CSU5126/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU5126",2013-08-14,2013,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-074GR","unknown","unknown","Mosquito-Culex"
"2751","CSU5142/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","CSU5142",2013-08-14,2013,"USA","CO","FoCo","CO/FC","CO/FC/SW","FC-049","unknown","unknown","Mosquito-Culex"
"2752","CSU5162/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","CSU5162",2013-08-15,2013,"USA","CO","FoCo","CO/FC","CO/FC/SW","FC-093","unknown","unknown","Mosquito-Culex"
"2753","CSU5166/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU5166",2013-08-16,2013,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-102","unknown","unknown","Mosquito-Culex"
"2754","CSU5177/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU5177",2013-08-19,2013,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-069","unknown","unknown","Mosquito-Culex"
"2755","CSU5181/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU5181",2013-08-19,2013,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-078","unknown","unknown","Mosquito-Culex"
"2756","CSU5183/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU5183",2013-08-19,2013,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-004","unknown","unknown","Mosquito-Culex"
"2757","CSU5193/2013/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex","CSU5193",2013-08-19,2013,"USA","CO","FoCo","CO/FC","CO/FC/NW","FC-061","unknown","unknown","Mosquito-Culex"
"2758","CSU5198/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5198",2013-08-19,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-040","unknown","unknown","Mosquito-Culex"
"2759","CSU5200/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5200",2013-08-19,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-066GR","unknown","unknown","Mosquito-Culex"
"2760","CSU5201/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5201",2013-08-19,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-092GR","unknown","unknown","Mosquito-Culex"
"2761","CSU5210/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5210",2013-08-19,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-014","unknown","unknown","Mosquito-Culex"
"2762","CSU5236/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU5236",2013-08-20,2013,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-089","unknown","unknown","Mosquito-Culex"
"2763","CSU5243/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU5243",2013-08-20,2013,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-074","unknown","unknown","Mosquito-Culex"
"2764","CSU5255/2013/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU5255",2013-08-22,2013,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-105","unknown","unknown","Mosquito-Culex"
"2765","CSU5266/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5266",2013-08-22,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-075GR","unknown","unknown","Mosquito-Culex"
"2766","CSU5268/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5268",2013-08-22,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-088GR","unknown","unknown","Mosquito-Culex"
"2767","CSU5269/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5269",2013-08-22,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-004","unknown","unknown","Mosquito-Culex"
"2768","CSU5271/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5271",2013-08-22,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-027","unknown","unknown","Mosquito-Culex"
"2769","CSU5274/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5274",2013-08-22,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-050","unknown","unknown","Mosquito-Culex"
"2770","CSU5284/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5284",2013-08-23,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-071","unknown","unknown","Mosquito-Culex"
"2771","CSU5297/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","CSU5297",2013-08-23,2013,"USA","CO","FoCo","CO/FC","CO/FC/SW","FC-049","unknown","unknown","Mosquito-Culex"
"2772","CSU5301/2013/USA/CO/LV/NE/unknown/unknown/Mosquito-Culex","CSU5301",2013-08-26,2013,"USA","CO","FoCo","CO/LV","CO/LV/NE","LV-079GR","unknown","unknown","Mosquito-Culex"
"2773","CSU5306/2013/USA/CO/LV/NE/unknown/unknown/Mosquito-Culex","CSU5306",2013-08-26,2013,"USA","CO","FoCo","CO/LV","CO/LV/NE","LV-117","unknown","unknown","Mosquito-Culex"
"2774","CSU5308/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5308",2013-08-26,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-014","unknown","unknown","Mosquito-Culex"
"2775","CSU5313/2013/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU5313",2013-08-26,2013,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-038","unknown","unknown","Mosquito-Culex"
"2776","CSU5320/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5320",2013-08-26,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-006","unknown","unknown","Mosquito-Culex"
"2777","CSU5325/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5325",2013-08-26,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-072","unknown","unknown","Mosquito-Culex"
"2778","CSU5344/2013/USA/CO/LV/SE/unknown/unknown/Mosquito-Culex","CSU5344",2013-08-27,2013,"USA","CO","FoCo","CO/LV","CO/LV/SE","LV-104","unknown","unknown","Mosquito-Culex"
"2779","CSU5349/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5349",2013-08-27,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-059","unknown","unknown","Mosquito-Culex"
"2780","CSU5358/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5358",2013-08-27,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-075","unknown","unknown","Mosquito-Culex"
"2781","CSU5359/2013/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5359",2013-08-27,2013,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-075","unknown","unknown","Mosquito-Culex"
"2782","CSU5360/2013/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","CSU5360",2013-08-27,2013,"USA","CO","FoCo","CO/FC","CO/FC/SW","FC-075GR","unknown","unknown","Mosquito-Culex"
"2783","CSU5361/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5361",2013-08-27,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-088GR","unknown","unknown","Mosquito-Culex"
"2784","CSU5368/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5368",2013-08-28,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-049","unknown","unknown","Mosquito-Culex"
"2785","CSU5369/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5369",2013-08-28,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-049","unknown","unknown","Mosquito-Culex"
"2786","CSU5384/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5384",2013-08-29,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-029GR","unknown","unknown","Mosquito-Culex"
"2787","CSU5385/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5385",2013-08-29,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-037","unknown","unknown","Mosquito-Culex"
"2788","CSU5386/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5386",2013-08-29,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-054","unknown","unknown","Mosquito-Culex"
"2789","CSU5392/2013/USA/CO/FC/unknown/unknown/Mosquito-Culex","CSU5392",2013-08-29,2013,"USA","CO","FoCo","CO/FC","CO/FC","FC-093","unknown","unknown","Mosquito-Culex"
"2790","CSU5952/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU5952",2014-07-21,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-004","unknown","unknown","Mosquito-Culex"
"2791","CSU6017/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6017",2014-07-22,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-039","unknown","unknown","Mosquito-Culex"
"2792","CSU6034/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6034",2014-07-22,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-104","unknown","unknown","Mosquito-Culex"
"2793","CSU6058/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6058",2014-07-22,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-123","unknown","unknown","Mosquito-Culex"
"2794","CSU6099/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6099",2014-07-22,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-064","unknown","unknown","Mosquito-Culex"
"2795","CSU6189/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6189",2014-07-28,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-053","unknown","unknown","Mosquito-Culex"
"2796","CSU6192/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6192",2014-07-28,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-019","unknown","unknown","Mosquito-Culex"
"2797","CSU6194/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6194",2014-07-28,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-069","unknown","unknown","Mosquito-Culex"
"2798","CSU6226/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6226",2014-07-28,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-038","unknown","unknown","Mosquito-Culex"
"2799","CSU6262/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6262",2014-07-28,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-072","unknown","unknown","Mosquito-Culex"
"2800","CSU6272/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6272",2014-07-29,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-039","unknown","unknown","Mosquito-Culex"
"2801","CSU6290/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6290",2014-07-29,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-089","unknown","unknown","Mosquito-Culex"
"2802","CSU6306/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6306",2014-07-29,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-027","unknown","unknown","Mosquito-Culex"
"2803","CSU6318/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6318",2014-07-29,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-064","unknown","unknown","Mosquito-Culex"
"2804","CSU6326/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6326",2014-07-29,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-031","unknown","unknown","Mosquito-Culex"
"2805","CSU6327/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6327",2014-07-29,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-031","unknown","unknown","Mosquito-Culex"
"2806","CSU6347/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6347",2014-07-29,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-050","unknown","unknown","Mosquito-Culex"
"2807","CSU6354/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6354",2014-08-04,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-040GR","unknown","unknown","Mosquito-Culex"
"2808","CSU6355/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6355",2014-08-04,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-040GR","unknown","unknown","Mosquito-Culex"
"2809","CSU6371/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6371",2014-08-04,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-079GR","unknown","unknown","Mosquito-Culex"
"2810","CSU6372/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6372",2014-08-04,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-079GR","unknown","unknown","Mosquito-Culex"
"2811","CSU6377/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6377",2014-08-04,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-038","unknown","unknown","Mosquito-Culex"
"2812","CSU6387/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6387",2014-08-04,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-053","unknown","unknown","Mosquito-Culex"
"2813","CSU6389/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6389",2014-08-04,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-053","unknown","unknown","Mosquito-Culex"
"2814","CSU6453/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6453",2014-08-04,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-040","unknown","unknown","Mosquito-Culex"
"2815","CSU6485/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6485",2014-08-05,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-088GR","unknown","unknown","Mosquito-Culex"
"2816","CSU6490/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6490",2014-08-05,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-104","unknown","unknown","Mosquito-Culex"
"2817","CSU6492/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6492",2014-08-05,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-077","unknown","unknown","Mosquito-Culex"
"2818","CSU6508/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6508",2014-08-05,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-047","unknown","unknown","Mosquito-Culex"
"2819","CSU6534/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6534",2014-08-05,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-074","unknown","unknown","Mosquito-Culex"
"2820","CSU6535/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6535",2014-08-05,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-074","unknown","unknown","Mosquito-Culex"
"2821","CSU6537/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6537",2014-08-05,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-031","unknown","unknown","Mosquito-Culex"
"2822","CSU6548/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6548",2014-08-05,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-027","unknown","unknown","Mosquito-Culex"
"2823","CSU6556/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6556",2014-08-06,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-067","unknown","unknown","Mosquito-Culex"
"2824","CSU6563/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6563",2014-08-06,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-042","unknown","unknown","Mosquito-Culex"
"2825","CSU6569/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6569",2014-08-06,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-039","unknown","unknown","Mosquito-Culex"
"2826","CSU6578/2014/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex","CSU6578",2014-08-06,2014,"USA","CO","FoCo","CO/FC","CO/FC/NW","FC-063","unknown","unknown","Mosquito-Culex"
"2827","CSU6579/2014/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex","CSU6579",2014-08-06,2014,"USA","CO","FoCo","CO/FC","CO/FC/NW","FC-041","unknown","unknown","Mosquito-Culex"
"2828","CSU6598/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6598",2014-08-07,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-010GR","unknown","unknown","Mosquito-Culex"
"2829","CSU6599/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6599",2014-08-07,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-010GR","unknown","unknown","Mosquito-Culex"
"2830","CSU6607/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6607",2014-08-07,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-029GR","unknown","unknown","Mosquito-Culex"
"2831","CSU6618/2014/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","CSU6618",2014-08-07,2014,"USA","CO","FoCo","CO/FC","CO/FC/SW","FC-062","unknown","unknown","Mosquito-Culex"
"2832","CSU6627/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6627",2014-08-07,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-114","unknown","unknown","Mosquito-Culex"
"2833","CSU6628/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6628",2014-08-07,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-114","unknown","unknown","Mosquito-Culex"
"2834","CSU6653/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6653",2014-08-11,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-080","unknown","unknown","Mosquito-Culex"
"2835","CSU6691/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6691",2014-08-11,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-006","unknown","unknown","Mosquito-Culex"
"2836","CSU6692/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6692",2014-08-11,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-006","unknown","unknown","Mosquito-Culex"
"2837","CSU6708/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6708",2014-08-12,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-074GR","unknown","unknown","Mosquito-Culex"
"2838","CSU6732/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6732",2014-08-12,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-023","unknown","unknown","Mosquito-Culex"
"2839","CSU6752/2014/USA/CO/FC/NW/unknown/unknown/Mosquito-Culex","CSU6752",2014-08-13,2014,"USA","CO","FoCo","CO/FC","CO/FC/NW","FC-063GR","unknown","unknown","Mosquito-Culex"
"2840","CSU6762/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6762",2014-08-13,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-019","unknown","unknown","Mosquito-Culex"
"2841","CSU6784/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6784",2014-08-13,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-114","unknown","unknown","Mosquito-Culex"
"2842","CSU6800/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6800",2014-08-14,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-010GR","unknown","unknown","Mosquito-Culex"
"2843","CSU6803/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6803",2014-08-14,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-014","unknown","unknown","Mosquito-Culex"
"2844","CSU6807/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6807",2014-08-14,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-029GR","unknown","unknown","Mosquito-Culex"
"2845","CSU6822/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6822",2014-08-14,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-059","unknown","unknown","Mosquito-Culex"
"2846","CSU6825/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6825",2014-08-14,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-029","unknown","unknown","Mosquito-Culex"
"2847","CSU6836/2014/USA/CO/FC/SW/unknown/unknown/Mosquito-Culex","CSU6836",2014-08-14,2014,"USA","CO","FoCo","CO/FC","CO/FC/SW","FC-093","unknown","unknown","Mosquito-Culex"
"2848","CSU6841/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6841",2014-08-18,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-095","unknown","unknown","Mosquito-Culex"
"2849","CSU6869/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6869",2014-08-18,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-072","unknown","unknown","Mosquito-Culex"
"2850","CSU6892/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU6892",2014-08-18,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-006","unknown","unknown","Mosquito-Culex"
"2851","CSU6893/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6893",2014-08-19,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-104","unknown","unknown","Mosquito-Culex"
"2852","CSU6933/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6933",2014-08-20,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-088GR","unknown","unknown","Mosquito-Culex"
"2853","CSU6934/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6934",2014-08-20,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-088GR","unknown","unknown","Mosquito-Culex"
"2854","CSU6937/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6937",2014-08-20,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-053","unknown","unknown","Mosquito-Culex"
"2855","CSU6942/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6942",2014-08-20,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-027","unknown","unknown","Mosquito-Culex"
"2856","CSU6944/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6944",2014-08-20,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-027","unknown","unknown","Mosquito-Culex"
"2857","CSU6958/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6958",2014-08-21,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-029GR","unknown","unknown","Mosquito-Culex"
"2858","CSU6961/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU6961",2014-08-21,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-029","unknown","unknown","Mosquito-Culex"
"2859","CSU6980/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6980",2014-08-25,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-069","unknown","unknown","Mosquito-Culex"
"2860","CSU6989/2014/USA/CO/LV/LV/unknown/unknown/Mosquito-Culex","CSU6989",2014-08-25,2014,"USA","CO","FoCo","CO/LV","CO/LV/LV","LV-095","unknown","unknown","Mosquito-Culex"
"2861","CSU7009/2014/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU7009",2014-08-25,2014,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-067","unknown","unknown","Mosquito-Culex"
"2862","CSU7013/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU7013",2014-08-26,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-039","unknown","unknown","Mosquito-Culex"
"2863","CSU7028/2014/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU7028",2014-08-26,2014,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-088GR","unknown","unknown","Mosquito-Culex"
"2864","CSU7300/2015/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU7300",2015-06-29,2015,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-067","unknown","unknown","Mosquito-Culex"
"2865","CSU7350/2015/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU7350",2015-06-30,2015,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-075GR","unknown","unknown","Mosquito-Culex"
"2866","CSU7506/2015/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU7506",2015-07-08,2015,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-014","unknown","unknown","Mosquito-Culex"
"2867","CSU7560/2015/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU7560",2015-07-13,2015,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-053","unknown","unknown","Mosquito-Culex"
"2868","CSU7616/2015/USA/CO/FC/NE/unknown/unknown/Mosquito-Culex","CSU7616",2015-07-13,2015,"USA","CO","FoCo","CO/FC","CO/FC/NE","FC-040","unknown","unknown","Mosquito-Culex"
"2869","CSU7673/2015/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU7673",2015-07-14,2015,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-027","unknown","unknown","Mosquito-Culex"
"2870","CSU7676/2015/USA/CO/FC/SE/unknown/unknown/Mosquito-Culex","CSU7676",2015-07-14,2015,"USA","CO","FoCo","CO/FC","CO/FC/SE","FC-027","unknown","unknown","Mosquito-Culex"
